Date,Sample,Download,Upload,Ping,Server
"02-09-2020, 12:01:50",1,30824577.861652724,6396185.575163035,80.037,speedtest.mia.hivelocity.net:8080
"02-09-2020, 12:02:36",2,30788102.2740588,6485824.392045834,77.139,speedtest.mia.hivelocity.net:8080
