Date,Sample,Download,Upload,Ping,Server
"02-09-2020, 12:01:50",1,29099464.26766893,5314363.200558999,177.531,speedtest.flowbarbados.co:8080
"02-09-2020, 12:02:36",2,28779385.287105326,5520915.35261781,141.427,speedtest.flowbarbados.co:8080
